form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
maringsaibol180,mu,2.pl.3.pl.nfut.neg,mu-mak-chau,Σ-mak-chau,Σ+mak+cha+u,Σ m a k tʃ a u,Σ + m a k + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol181,shi,3.sg.nfut.neg,shi-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol182,shi,3.pl.nfut.neg,shi-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol183,mu,3.sg.1.sg.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol184,mu,3.sg.1.pl.excl.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol185,mu,3.sg.1.pl.incl.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol186,mu,3.pl.1.sg.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol187,mu,3.pl.1.pl.excl.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol188,mu,3.pl.1.pl.incl.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol189,mu,3.sg.2.sg.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol190,mu,3.sg.2.pl.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol191,mu,3.pl.2.sg.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol192,mu,3.pl.2.pl.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol193,mu,3.sg.3.sg.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol194,mu,3.sg.3.pl.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol195,mu,3.pl.3.sg.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol196,mu,3.pl.3.pl.nfut.neg,mu-mak-ei,Σ-mak-ei,Σ+mak+ei,Σ m a k ei,Σ + m a k + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
